"","LONGITUDE","LATITUDE","FLOOR"
"1",-7632.14359999821,4864982.2171,"0"
"2",-7637.25699999928,4864949.8143,"0"
"3",-7628.13450000063,4864977.0212,"0"
"4",-7622.05460000038,4864976.2942,"0"
"5",-7636.20569999889,4864967.3302,"0"
"6",-7633.72949999943,4864965.3173,"0"
"7",-7605.41930000111,4864979.0708,"0"
"8",-7607.24760000035,4864978.5467,"0"
"9",-7616.55600000173,4864975.8786,"0"
"10",-7618.58689999953,4864975.2962,"0"
"11",-7592.73330000043,4864982.7069,"0"
"12",-7611.05649999902,4864981.8017,"0"
"13",-7592.71860000119,4864984.4303,"0"
"14",-7587.04140000045,4864986.0578,"0"
"15",-7589.00149999931,4864985.4959,"0"
"16",-7615.52769999951,4864982.2821,"0"
"17",-7632.14359999821,4864982.2171,"0"
"18",-7634.50039999932,4864984.3192,"0"
"19",-7636.63300000131,4864991.8306,"0"
"20",-7637.22569999844,4864993.8063,"0"
"21",-7641.03009999916,4865006.8267,"0"
"22",-7638.84319999814,4864999.3684,"0"
"23",-7639.41719999909,4865001.2771,"0"
"24",-7638.06769999862,4865000.6202,"0"
"25",-7639.07779999822,4865011.764,"0"
"26",-7641.62460000068,4865008.9015,"0"
"27",-7632.2388000004,4864988.2492,"0"
"28",-7640.97619999945,4865010.6595,"0"
"29",-7650.16560000181,4864937.0569,"0"
"30",-7645.0887000002,4864948.9595,"0"
"31",-7656.63569999859,4864938.026,"0"
"32",-7643.20149999857,4864947.9906,"0"
"33",-7669.23350000009,4864936.1548,"0"
"34",-7676.6270999983,4864934.0356,"0"
"35",-7661.73589999974,4864938.3039,"0"
"36",-7667.33980000019,4864936.6978,"0"
"37",-7674.95589999855,4864934.5144,"0"
"38",-7680.13459999859,4864931.4921,"0"
"39",-7684.28240000084,4864931.8414,"0"
"40",-7682.5438000001,4864932.3395,"0"
"41",-7685.72349999845,4864929.8903,"0"
"42",-7643.99379999936,4864930.198,"0"
"43",-7661.89689999819,4864934.6188,"0"
"44",-7675.35249999911,4864932.8629,"0"
"45",-7646.33929999918,4864932.2718,"0"
"46",-7643.38509999961,4864928.0748,"0"
"47",-7641.28579999879,4864920.7506,"0"
"48",-7641.77189999819,4864922.4459,"0"
"49",-7639.64950000122,4864915.0412,"0"
"50",-7646.24460000172,4864925.929,"0"
"51",-7653.34330144525,4864920.96325149,"2"
"52",-7637.72890000045,4864903.1834,"0"
"53",-7639.1361999996,4864913.2513,"0"
"54",-7636.96020000055,4864905.6597,"0"
"55",-7640.70399999991,4864913.5625,"0"
"56",-7638.80799999833,4864907.0441,"1"
"57",-7638.27600000054,4864905.1872,"1"
"58",-7636.2976000011,4864898.2851,"1"
"59",-7637.00239999965,4864905.5323,"1"
"60",-7639.69099999964,4864914.9128,"1"
"61",-7636.34243321791,4864916.82160952,"1"
"62",-7639.18010000139,4864913.1301,"1"
"63",-7641.32979999855,4864920.6295,"1"
"64",-7637.55649999902,4864907.4662,"1"
"65",-7641.81230000034,4864922.3139,"1"
"66",-7643.42819999903,4864927.9508,"1"
"67",-7643.42819999903,4864927.9508,"1"
"68",-7644.03489999846,4864930.0668,"1"
"69",-7656.55909999833,4864938.029,"1"
"70",-7646.4235999994,4864925.7571,"1"
"71",-7661.75310000032,4864938.2754,"1"
"72",-7659.93530000001,4864938.7962,"1"
"73",-7646.20639999956,4864932.4318,"1"
"74",-7669.24780000001,4864936.1268,"1"
"75",-7667.35179999843,4864936.6705,"1"
"76",-7674.97230000049,4864934.4862,"1"
"77",-7676.64359999821,4864934.007,"1"
"78",-7682.08439999819,4864930.8654,"1"
"79",-7682.55909999833,4864932.3116,"1"
"80",-7683.85590000078,4864930.3579,"1"
"81",-7684.29809999838,4864931.813,"1"
"82",-7675.40670000017,4864932.7796,"1"
"83",-7647.62629999965,4864944.4577,"1"
"84",-7650.16560000181,4864937.0569,"1"
"85",-7691.33839999884,4864928.2129,"1"
"86",-7689.51339999959,4864928.7361,"1"
"87",-7643.0923999995,4864947.8138,"1"
"88",-7633.04149999842,4864971.0121,"1"
"89",-7632.25869999826,4864982.0603,"1"
"90",-7633.20560000092,4864965.1088,"1"
"91",-7645.04190000147,4864948.918,"1"
"92",-7635.04080000147,4864986.0639,"1"
"93",-7636.6790000014,4864991.7787,"1"
"94",-7634.47700000182,4864984.0975,"1"
"95",-7637.17799999937,4864993.5206,"1"
"96",-7640.98050000146,4865006.7856,"1"
"97",-7639.35000000149,4865001.0981,"1"
"98",-7639.71539999917,4865007.1604,"1"
"99",-7638.85420000181,4864999.3676,"1"
"100",-7640.28959999979,4865009.1648,"1"
"101",-7641.57319999859,4865008.853,"1"
"102",-7618.76330000162,4864975.4338,"1"
"103",-7642.4459999986,4865016.6878,"1"
"104",-7641.89939999953,4865014.7801,"1"
"105",-7611.12900000066,4864977.622,"1"
"106",-7616.67009999976,4864979.4992,"1"
"107",-7616.68890000135,4864976.0281,"1"
"108",-7603.19240000099,4864981.479,"1"
"109",-7603.56509999931,4864979.7901,"1"
"110",-7596.64869999886,4864983.3547,"1"
"111",-7601.61620000005,4864980.3489,"1"
"112",-7594.73699999973,4864983.9024,"1"
"113",-7596.20320000127,4864981.9002,"1"
"114",-7589.06239999831,4864985.5291,"1"
"115",-7587.10229999945,4864986.091,"1"
"116",-7633.23669999838,4864965.0633,"2"
"117",-7594.26410000026,4864982.4561,"1"
"118",-7635.68039999902,4864966.4493,"2"
"119",-7628.13450000063,4864977.0212,"2"
"120",-7634.47700000182,4864984.0975,"2"
"121",-7632.15289999917,4864981.8639,"2"
"122",-7633.29250000045,4864970.0588,"2"
"123",-7637.17799999937,4864993.5206,"2"
"124",-7639.35000000149,4865001.0981,"2"
"125",-7636.66789999977,4864991.7398,"2"
"126",-7635.04080000147,4864986.0639,"2"
"127",-7638.81430000067,4864999.2282,"2"
"128",-7641.89939999953,4865014.7801,"2"
