"","LONGITUDE","LATITUDE","FLOOR","variable","value"
"1",-7439.62449999899,4864864.1263,"0","WAP006",-79
"2",-7435.13729999959,4864861.7101,"0","WAP006",-68
"3",-7426.93832446635,4864864.10805024,"0","WAP006",-71
"4",-7425.66110000014,4864873.1327,"0","WAP006",-67
"5",-7411.32860000059,4864885.4059,"0","WAP006",-78
"6",-7410.02659999952,4864887.7496,"0","WAP006",-78
"7",-7439.62449999899,4864864.1263,"0","WAP006",-67
"8",-7426.93832446635,4864864.10805024,"0","WAP006",-62
"9",-7435.13729999959,4864861.7101,"0","WAP006",-65
"10",-7425.66110000014,4864873.1327,"0","WAP006",-68
"11",-7439.62449999899,4864864.1263,"0","WAP006",-70
"12",-7435.13729999959,4864861.7101,"0","WAP006",-67
"13",-7426.93832446635,4864864.10805024,"0","WAP006",-70
"14",-7410.6922999993,4864890.0382,"0","WAP006",-79
"15",-7423.06089999899,4864877.6861,"0","WAP006",-70
"16",-7410.02659999952,4864887.7496,"0","WAP006",-79
"17",-7426.93832446635,4864864.10805024,"0","WAP006",-72
"18",-7435.13729999959,4864861.7101,"0","WAP006",-79
"19",-7410.6922999993,4864890.0382,"0","WAP006",-78
"20",-7423.06089999899,4864877.6861,"0","WAP006",-72
"21",-7425.66110000014,4864873.1327,"0","WAP006",-79
"22",-7426.93832446635,4864864.10805024,"0","WAP006",-58
"23",-7435.13729999959,4864861.7101,"0","WAP006",-76
"24",-7435.13729999959,4864861.7101,"0","WAP006",-58
"25",-7425.66110000014,4864873.1327,"0","WAP006",-66
"26",-7435.13729999959,4864861.7101,"0","WAP006",-60
"27",-7426.93832446635,4864864.10805024,"0","WAP006",-60
"28",-7423.06089999899,4864877.6861,"0","WAP006",-77
"29",-7411.32860000059,4864885.4059,"0","WAP006",-77
"30",-7410.02659999952,4864887.7496,"0","WAP006",-77
"31",-7435.13729999959,4864861.7101,"0","WAP006",-62
"32",-7439.62449999899,4864864.1263,"0","WAP006",-68
"33",-7423.06089999899,4864877.6861,"0","WAP006",-79
"34",-7426.93832446635,4864864.10805024,"0","WAP006",-74
"35",-7439.62449999899,4864864.1263,"0","WAP006",-77
