"","variable","BUILDINGID","value"
"1","WAP002","0",-88
"2","WAP005","2",-89.5
"3","WAP006","1",-75.5185185185185
"4","WAP007","0",-69.3333333333333
"5","WAP008","1",-75.5
"6","WAP009","0",-70.8461538461538
"7","WAP010","1",-86.6666666666667
"8","WAP011","2",-55.875
"9","WAP012","2",-57.05
"10","WAP013","0",-65.44
"11","WAP014","0",-65.9183673469388
"12","WAP015","1",-79.5
"13","WAP016","1",-79.5
"14","WAP017","0",-87.3333333333333
"15","WAP018","0",-85.625
"16","WAP019","0",-70.9487179487179
"17","WAP020","0",-70.425
"18","WAP021","1",-90
"19","WAP022","1",-90
"20","WAP023","0",-65
"21","WAP024","0",-65
"22","WAP025","0",-68
"23","WAP026","0",-67.9333333333333
"24","WAP027","0",-67.9111111111111
"25","WAP028","0",-67.4565217391304
"26","WAP029","0",-61.7719298245614
"27","WAP030","0",-60.9830508474576
"28","WAP031","0",-65.28
"29","WAP032","0",-65.7142857142857
"30","WAP033","0",-63
"31","WAP034","0",-63
"32","WAP035","0",-60.5
"33","WAP036","0",-60.5
"34","WAP037","1",-72.9142857142857
"35","WAP038","1",-73.2727272727273
"36","WAP039","0",-62.4821428571429
"37","WAP040","0",-62
"38","WAP041","0",-63.5
"39","WAP042","0",-63.5
"40","WAP043","0",-60.4666666666667
"41","WAP044","0",-60.4666666666667
"42","WAP045","0",-67.5
"43","WAP046","0",-67.5
"44","WAP047","0",-62.4821428571429
"45","WAP048","0",-62.4821428571429
"46","WAP049","0",-70.5
"47","WAP050","0",-70
"48","WAP051","0",-66.9148936170213
"49","WAP052","0",-66.375
"50","WAP053","0",-62
"51","WAP054","0",-62
"52","WAP055","1",-88
"53","WAP056","1",-88
"54","WAP057","0",-67.304347826087
"55","WAP058","0",-67.7111111111111
"56","WAP059","2",-66.125
"57","WAP060","2",-65.5
"58","WAP061","2",-59.9473684210526
"59","WAP062","2",-56.0952380952381
"60","WAP063","2",-68.3939393939394
"61","WAP064","2",-63.1315789473684
"62","WAP065","2",-57
"63","WAP066","2",-52.9705882352941
"64","WAP067","2",-65.9795918367347
"65","WAP068","2",-65.9795918367347
"66","WAP069","2",-62.2727272727273
"67","WAP070","2",-63.1698113207547
"68","WAP071","0",-72.1111111111111
"69","WAP072","0",-71.972972972973
"70","WAP073","2",-60.4561403508772
"71","WAP074","2",-61.5818181818182
"72","WAP075","0",-63.5
"73","WAP076","0",-63.5
"74","WAP077","2",-61.8703703703704
"75","WAP078","2",-63.24
"76","WAP080","0",-60.6949152542373
"77","WAP081","0",-61.051724137931
"78","WAP082","2",-61.0535714285714
"79","WAP083","2",-54.7076923076923
"80","WAP084","2",-61.4615384615385
"81","WAP085","2",-59.8909090909091
"82","WAP086","1",-84.4444444444444
"83","WAP087","2",-56.3272727272727
"84","WAP088","1",-68.2619047619048
"85","WAP089","1",-69.675
"86","WAP090","1",-67.4130434782609
"87","WAP091","1",-67.6
"88","WAP096","2",-64.5
"89","WAP097","2",-65
