"","x","y","z"
"1",-7541.26429999992,4864920.7782,"2"
"2",-7536.621199999,4864934.2252,"2"
"3",-7519.15239999816,4864949.5322,"2"
"4",-7524.57039999962,4864934.093,"2"
"5",-7632.14359999821,4864982.2171,"0"
"6",-7533.89620000124,4864939.2583,"2"
"7",-7519.15239999816,4864949.5322,"2"
"8",-7527.45109999925,4864929.1464,"2"
"9",-7559.497299999,4864887.6504,"2"
"10",-7510.43717321754,4864949.25141671,"2"
"11",-7528.81640154868,4864959.43061222,"2"
"12",-7523.62819999829,4864951.9583,"2"
"13",-7571.09340000153,4864871.7184,"2"
"14",-7559.78200000152,4864871.3735,"2"
"15",-7562.18620000035,4864866.7851,"2"
"16",-7564.19629999995,4864887.1932,"2"
"17",-7555.13230000064,4864885.2515,"2"
"18",-7520.72450000048,4864892.4384,"2"
"19",-7521.86718644574,4864889.47709399,"2"
"20",-7537.33989999816,4864895.7854,"2"
"21",-7526.71092675626,4864892.80180848,"2"
"22",-7516.08879999816,4864889.8782,"2"
"23",-7512.6041636318,4864884.949544,"2"
"24",-7520.75580000132,4864891.4821,"2"
"25",-7516.84149999917,4864889.291,"2"
"26",-7502.44970000163,4864884.1761,"2"
"27",-7489.17749999836,4864899.9449,"2"
"28",-7482.45617602766,4864901.42957994,"2"
"29",-7491.03063394502,4864865.38593483,"2"
"30",-7501.22190000117,4864863.0729,"2"
"31",-7480.12409999967,4864894.9306,"2"
"32",-7506.73189999908,4864850.684,"2"
"33",-7502.82690000162,4864860.1746,"2"
"34",-7511.73669999838,4864841.6472,"2"
"35",-7516.47450000048,4864844.5972,"2"
"36",-7504.8814000003,4864865.5295,"2"
"37",-7474.65260000154,4864865.9525,"2"
"38",-7506.52930000052,4864862.5543,"2"
"39",-7511.52149999887,4864853.5402,"2"
"40",-7470.5186999999,4864863.6628,"2"
"41",-7469.73910000175,4864864.2915,"2"
"42",-7457.24210000038,4864853.9303,"2"
"43",-7480.43149175867,4864867.13092805,"2"
"44",-7474.58249999955,4864866.8723,"2"
"45",-7466.29110009223,4864859.33894889,"2"
"46",-7458.26419999823,4864852.0843,"2"
"47",-7331.74799999967,4864767.318,"3"
"48",-7331.40049999952,4864768.4786,"3"
"49",-7461.52404925972,4864852.0464766,"2"
"50",-7327.49216509238,4864766.66853056,"3"
"51",-7336.70039999858,4864764.4788,"3"
"52",-7337.39479999989,4864763.227,"3"
"53",-7340.52459999919,4864757.5859,"3"
"54",-7341.21499999985,4864756.3415,"3"
"55",-7339.15388717502,4864749.38469046,"3"
"56",-7337.23213905096,4864752.84884035,"3"
"57",-7344.96840000153,4864749.576,"3"
"58",-7344.21139999852,4864750.94,"3"
"59",-7344.96840000153,4864749.576,"3"
"60",-7347.10830000043,4864748.0456,"3"
"61",-7407.37959999964,4864799.6941,"3"
"62",-7408.28842738271,4864803.46471681,"3"
"63",-7410.32899999991,4864800.0056,"3"
"64",-7408.28842738271,4864803.46471681,"3"
"65",-7413.15480000153,4864789.2367,"3"
